i,j,x,y
85,1,0.02,1.92
85,2,0.69,1.59
85,3,0.56,-0.19
86,1,0.3,2.14
86,2,0.72,1.83
86,3,0.58,4.24
87,1,0.81,0.55
87,2,0.49,0.09
87,3,0.55,-0.22
88,1,0.49,2.14
88,2,0.92,0.3
88,3,0.9,2.22
89,1,0.84,0.03
89,2,0.75,0.31
89,3,0.41,-0.02
90,1,0.44,3.08
90,2,0.73,2.58
90,3,0.01,4.3
91,1,0.81,4.63
91,2,0.46,2.66
91,3,0.27,2.77
92,1,0.42,3.54
92,2,0.82,2.62
92,3,0.02,2.96
93,1,0.53,1.07
93,2,0.79,1.41
93,3,0.49,1.08
94,1,0.36,-1.17
94,2,0.09,0.8
94,3,0.36,0.81
95,1,0.38,1.24
95,2,0.23,-0.08
95,3,0.9,-0.65
96,1,0.58,1.67
96,2,0.99,1.97
96,3,0.37,2.59
97,1,0.24,1.77
97,2,0.04,1.28
97,3,0.17,2.48
98,1,0.16,2.15
98,2,0.18,2.6
98,3,0.57,2.05
99,1,0.7,1.29
99,2,0.47,-0.17
99,3,0.91,-0.02
100,1,0.28,2.74
100,2,0.47,2.77
100,3,0.79,2.2
